UNIQUE_ID,MONTH,AGE,GENDER,OFFENCE,OUTCOME,LENGTH,PREV_CONVICTIONS,DRG_CLASS,DRG_CATEGORY,DRG_CULPABILITY,DRG_HARM,DRG_INCREASING_SER_STAT_1,DRG_INCREASING_SER_STAT_2,DRG_INCREASING_SER_STAT_3,DRG_INCREASING_SER_STAT_4,DRG_INCREASING_SER_STAT_NONE,DRG_INCREASING_SER_OTHER_1,DRG_INCREASING_SER_OTHER_2,DRG_INCREASING_SER_OTHER_3,DRG_INCREASING_SER_OTHER_4,DRG_INCREASING_SER_OTHER_5,DRG_INCREASING_SER_OTHER_6,DRG_INCREASING_SER_OTHER_7,DRG_INCREASING_SER_OTHER_8,DRG_INCREASING_SER_OTHER_9,DRG_INCREASING_SER_OTHER_10,DRG_INCREASING_SER_OTHER_11,DRG_INCREASING_SER_OTHER_12,DRG_INCREASING_SER_OTHER_13,DRG_INCREASING_SER_OTHER_14,DRG_INCREASING_SER_OTHER_15,DRG_INCREASING_SER_OTHER_16,DRG_INCREASING_SER_OTHER_17,DRG_INCREASING_SER_OTHER_18,DRG_INCREASING_SER_OTHER_19,DRG_INCREASING_SER_OTHER_20,DRG_INCREASING_SER_OTHER_21,DRG_INCREASING_SER_OTHER_NONE,DRG_REDUCING_SER_1,DRG_REDUCING_SER_2,DRG_REDUCING_SER_3,DRG_REDUCING_SER_4,DRG_REDUCING_SER_5,DRG_REDUCING_SER_6,DRG_REDUCING_SER_7,DRG_REDUCING_SER_8,DRG_REDUCING_SER_9,DRG_REDUCING_SER_10,DRG_REDUCING_SER_11,DRG_REDUCING_SER_12,DRG_REDUCING_SER_13,DRG_REDUCING_SER_14,DRG_REDUCING_SER_15,DRG_REDUCING_SER_16,DRG_REDUCING_SER_NONE,GUILT_IND_POLICE,GP_STAGE,GP_DISCOUNT,GP_FIRST_OPP
sc_drg-120234-000012,August,18 to 24,Male,Possession,SSO,,10 or more,Not Answered,Not Answered,Not Asked,Not Asked,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,"Up to, or at, the PCMH",Not Answered,Yes
sc_drg-120234-000013,July,25 to 34,Male,Possession,Fine,,4 to 9,Cannabis or Cannabis resin,Category 2,Not Asked,Not Asked,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,Failure to comply with current court orders,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,None stated,Not Asked,Not Asked,Not Asked
sc_drg-120234-000014,July,25 to 34,Male,Production/being concerned in production/cultivation,SSO,,1 to 3,Cannabis or Cannabis resin,Not Asked,Lesser role,2,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,"Up to, or at, the PCMH",21-32%,Yes
sc_drg-120234-000015,August,18 to 24,Male,Conspiracy to supply,Immediate custody,Up to 3 months,1 to 3,Cocaine,Not Asked,Not Answered,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,High purity or high potential yield,-,-,-,-,"Presence of others, especially children and/or non-users",-,-,-,-,-,-,Nature of likely supply,-,-,-,-,-,-,-,-,-,-,-,-,Remorse,-,-,-,Age/lack of maturity affecting responsibility,-,-,-,-,-,No,"Up to, or at, the PCMH",11-20%,No
sc_drg-120234-000016,June,Over 54,Male,Conspiracy to supply,Immediate custody,Over 18 months and up to 3 years,None,Cocaine,Not Asked,Not Answered,Not Answered,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,Isolated incident,-,No previous relevant convictions,-,-,-,-,-,-,-,-,-,-,-,Don't know,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000017,April,18 to 24,Male,Other drugs offences,Immediate custody,Up to 3 months,None,Cannabis or Cannabis resin,Not Asked,Not Answered,Not Answered,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Possession of drug in prison,-,-,-,-,-,-,-,-,No previous relevant convictions,-,Remorse,-,-,-,Age/lack of maturity affecting responsibility,-,-,-,-,-,Don't know,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000018,September,45 to 54,Male,Other drugs offences,Immediate custody,Over 18 months and up to 3 years,1 to 3,Cocaine,Not Asked,Not Answered,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Possession of drug in prison,-,-,-,-,Involvement due to pressure/intimidation/coercion,-,-,-,-,-,-,-,-,-,-,Mental disorder/learning disability,-,-,-,-,Not Answered,"On, or after, the day of trial",1-10%,Not Answered
sc_drg-120234-000019,September,35 to 44,Male,Other drugs offences,Immediate custody,Over 3 months and up to 6 months,Not Answered,Cocaine,Not Asked,Not Answered,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Offender addicted to same drug,-,-,No,"On, or after, the day of trial",11-20%,Yes
sc_drg-120234-000020,December,35 to 44,Female,Other drugs offences,Immediate custody,Over 3 months and up to 6 months,None,Class C,Not Asked,Not Answered,Not Answered,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Possession of drug in prison,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Don't know,"Up to, or at, the PCMH",33% or more,Not Answered
sc_drg-120234-000021,June,35 to 44,Male,Production/being concerned in production/cultivation,Immediate custody,Over 3 years and less than 4 years,None,Cannabis or Cannabis resin,Not Asked,Leading role,2,-,-,-,-,None stated,-,-,-,-,High purity or high potential yield,-,-,-,On-going/large scale evidenced by specialist equipment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,Remorse,Good character/exemplary conduct,-,Serious medical conditions,Age/lack of maturity affecting responsibility,Mental disorder/learning disability,-,-,-,-,No,Not Answered,Not Answered,Not Answered
sc_drg-120234-000023,June,45 to 54,Male,Possession with intent to supply,Immediate custody,Over 3 months and up to 6 months,None,Cocaine,Not Asked,Not Answered,Not Answered,-,-,-,-,None stated,-,Attempt to conceal/dispose of evidence,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mistaken belief regarding type of drug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Don't know,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000025,April,18 to 24,Male,Possession with intent to supply,CO,,None,Cannabis or Cannabis resin,Not Asked,Lesser role,3-Street Dealer,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Lack of sophistication as to nature of concealment,-,-,-,-,No previous relevant convictions,-,Remorse,Good character/exemplary conduct,-,-,Age/lack of maturity affecting responsibility,-,-,-,-,-,Yes,"Up to, or at, the PCMH",21-32%,Yes
sc_drg-120234-000026,November,18 to 24,Male,Conspiracy to supply,Immediate custody,Over 12 months and up to 18 months,1 to 3,Cocaine,Not Asked,Not Answered,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,After the PCMH but before the day of trial,11-20%,No
sc_drg-120234-000027,May,18 to 24,Male,Possession,SSO,,None,Cannabis or Cannabis resin,Category 3 - least serious,Not Asked,Not Asked,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,"Up to, or at, the PCMH",33% or more,Not Answered
sc_drg-120234-000028,May,25 to 34,Male,Possession,Immediate custody,Up to 3 months,1 to 3,Cannabis or Cannabis resin,Category 3 - least serious,Not Asked,Not Asked,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Don't know,"Up to, or at, the PCMH",33% or more,Not Answered
sc_drg-120234-000029,July,18 to 24,Male,Possession,Discharge,,None,Other Class B,Category 3 - least serious,Not Asked,Not Asked,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Lack of sophistication as to nature of concealment,-,-,-,-,-,-,Remorse,-,Determination/demonstration to address addiction/behaviour,-,-,-,-,-,-,-,Yes,Not Answered,Not Answered,Not Answered
sc_drg-120234-000030,July,25 to 34,Male,Possession with intent to supply,SSO,,1 to 3,Cannabis or Cannabis resin,Not Asked,Significant role,3-Street Dealer,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Offender addicted to same drug,-,-,Yes,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000031,August,25 to 34,Male,Possession with intent to supply,SSO,,None,Cannabis or Cannabis resin,Not Asked,Significant role,4,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,Not Answered,Not Answered,No
sc_drg-120234-000032,August,18 to 24,Male,Supplying,SSO,,None,Cannabis or Cannabis resin,Not Asked,Lesser role,Not Answered,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,After the PCMH but before the day of trial,21-32%,No
sc_drg-120234-000034,September,18 to 24,Male,Possession with intent to supply,Immediate custody,Over 18 months and up to 3 years,1 to 3,Heroin,Not Asked,Lesser role,3-Street Dealer,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,Involvement due to pressure/intimidation/coercion,-,-,-,-,-,Remorse,-,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",33% or more,No
sc_drg-120234-000035,October,25 to 34,Male,Production/being concerned in production/cultivation,Immediate custody,Over 12 months and up to 18 months,1 to 3,Not Answered,Not Asked,Significant role,3-Basis of quantity,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,On licence,-,On-going/large scale evidenced by specialist equipment,-,Use of premises with unlawful access to utility supply,Level of profit element,Premises adapted to facilitate drug activity,-,-,-,Nature of likely supply,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Don't know,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000036,November,18 to 24,Male,Possession with intent to supply,Immediate custody,Over 4 years and up to 5 years,None,Cocaine,Not Asked,Significant role,1,-,-,-,-,None stated,-,-,-,-,High purity or high potential yield,-,-,-,-,-,-,Level of profit element,-,-,-,-,-,-,-,-,-,-,-,-,-,Isolated incident,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000037,April,18 to 24,Male,Possession with intent to supply,Immediate custody,Over 6 months to less than 12,1 to 3,Cannabis or Cannabis resin,Not Asked,Significant role,3-Basis of quantity,Previous relevant convictions:,-,-,-,-,-,-,-,-,High purity or high potential yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,After the PCMH but before the day of trial,21-32%,No
sc_drg-120234-000038,May,35 to 44,Male,Possession with intent to supply,SSO,,None,Other Class A,Not Asked,Lesser role,4,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Lack of sophistication as to nature of concealment,-,-,-,-,-,-,-,Good character/exemplary conduct,-,-,Age/lack of maturity affecting responsibility,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33% or more,Not Answered
sc_drg-120234-000039,June,18 to 24,Male,Possession with intent to supply,SSO,,None,Cannabis or Cannabis resin,Not Asked,Lesser role,3-Street Dealer,-,-,Offence committed on bail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Lack of sophistication as to nature of concealment,-,-,Isolated incident,-,No previous relevant convictions,-,Remorse,-,-,-,-,-,Sole/primary carer for dependent relatives,-,-,-,Yes,"On, or after, the day of trial",21-32%,No
sc_drg-120234-000040,November,25 to 34,Male,Supplying,Immediate custody,12 months,1 to 3,Heroin,Not Asked,Lesser role,4,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,Failure to comply with current court orders,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Established evidence of community impact,-,Lack of sophistication as to nature of concealment,-,-,-,-,-,-,-,-,-,-,-,-,-,Offender addicted to same drug,-,-,Don't know,"Up to, or at, the PCMH",33% or more,No
sc_drg-120234-000041,December,25 to 34,Male,Bringing in/taking out controlled drug,Immediate custody,Over 10 years and less than life,None,Cocaine,Not Asked,Significant role,1,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,"Up to, or at, the PCMH",Not Answered,No
sc_drg-120234-000042,October,35 to 44,Male,Supplying,Immediate custody,4 Years,None,Cocaine,Not Asked,Significant role,2,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,No previous relevant convictions,-,Remorse,-,Determination/demonstration to address addiction/behaviour,-,-,-,-,Offender addicted to same drug,-,-,Yes,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000043,April,18 to 24,Male,Conspiracy to supply,Immediate custody,4 Years,None,Not Answered,Not Asked,Not Answered,Not Answered,-,-,-,-,None stated,-,-,-,-,High purity or high potential yield,-,-,-,-,-,-,Level of profit element,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,Remorse,Good character/exemplary conduct,-,-,-,-,-,-,-,-,No,After the PCMH but before the day of trial,Not Answered,Not Answered
sc_drg-120234-000044,July,25 to 34,Male,Supplying,Immediate custody,Over 5 years and up to 10 years,1 to 3,Not Answered,Not Asked,Significant role,3-Street Dealer,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,On-going/large scale evidenced by specialist equipment,-,-,Level of profit element,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"On, or after, the day of trial",11-20%,No
sc_drg-120234-000045,September,25 to 34,Male,Bringing in/taking out controlled drug,Immediate custody,Over 4 years and up to 5 years,None,Heroin,Not Asked,Lesser role,3-Basis of quantity,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,Involvement due to pressure/intimidation/coercion,-,-,-,-,Offender´+¢s vulnerability exploited,-,-,Determination/demonstration to address addiction/behaviour,-,-,-,-,-,-,-,No,"On, or after, the day of trial",1-10%,No
sc_drg-120234-000046,October,18 to 24,Male,Possession,Immediate custody,Over 3 months and up to 6 months,None,Cocaine,Category 3 - least serious,Not Asked,Not Asked,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Don't know,"Up to, or at, the PCMH",33% or more,Not Answered
sc_drg-120234-000047,April,35 to 44,Male,Conspiracy to supply,Immediate custody,Over 10 years and less than life,None,Cocaine,Not Asked,Not Answered,Not Answered,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,Not Answered,Not Answered,Not Answered
sc_drg-120234-000048,May,25 to 34,Male,Other drugs offences,Immediate custody,12 months,1 to 3,Heroin,Not Asked,Not Answered,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Possession of drug in prison,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,"Up to, or at, the PCMH",11-20%,Not Answered
sc_drg-120234-000049,August,25 to 34,Male,Possession with intent to supply,SSO,,None,Cannabis or Cannabis resin,Not Asked,Significant role,3-Basis of quantity,-,-,-,-,None stated,-,Attempt to conceal/dispose of evidence,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Serious medical conditions,-,-,Sole/primary carer for dependent relatives,-,-,-,No,Not Answered,Not Answered,No
sc_drg-120234-000051,July,35 to 44,Male,Supplying,Immediate custody,Over 18 months and up to 3 years,None,Cocaine,Not Asked,Significant role,4,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,"Presence of others, especially children and/or non-users",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,-,-,-,-,-,-,-,-,-,-,Don't know,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000052,May,35 to 44,Male,Possession with intent to supply,Immediate custody,Over 18 months and up to 3 years,None,Cocaine,Not Asked,Lesser role,4,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lack of sophistication as to nature of concealment,-,-,-,-,No previous relevant convictions,-,-,Good character/exemplary conduct,-,-,-,-,-,Offender addicted to same drug,-,-,No,Not Answered,Not Answered,Not Answered
sc_drg-120234-000053,April,18 to 24,Male,Supplying,SSO,,None,Cannabis or Cannabis resin,Not Asked,Significant role,3-Basis of quantity,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,No previous relevant convictions,-,-,-,-,-,-,-,-,Offender addicted to same drug,-,-,Yes,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000055,April,25 to 34,Male,Possession with intent to supply,SSO,,1 to 3,Cannabis or Cannabis resin,Not Asked,Significant role,3-Basis of quantity,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,Good character/exemplary conduct,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",33% or more,Not Answered
sc_drg-120234-000056,May,25 to 34,Male,Possession with intent to supply,SSO,,None,Cannabis or Cannabis resin,Not Asked,Significant role,3-Street Dealer,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,No previous relevant convictions,-,-,-,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",21-32%,No
sc_drg-120234-000057,May,35 to 44,Male,Production/being concerned in production/cultivation,SSO,,None,Cannabis or Cannabis resin,Not Asked,Lesser role,2,-,-,-,-,None stated,-,-,-,-,High purity or high potential yield,-,-,-,-,-,Use of premises with unlawful access to utility supply,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,Remorse,Good character/exemplary conduct,-,-,-,-,Sole/primary carer for dependent relatives,-,-,-,Yes,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000058,June,25 to 34,Male,Production/being concerned in production/cultivation,SSO,,1 to 3,Cannabis or Cannabis resin,Not Asked,Lesser role,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,Remorse,-,Determination/demonstration to address addiction/behaviour,-,-,-,-,-,-,-,Not Answered,"Up to, or at, the PCMH",33% or more,Yes
sc_drg-120234-000060,July,25 to 34,Male,Possession with intent to supply,SSO,,None,Cannabis or Cannabis resin,Not Asked,Significant role,3-Street Dealer,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"Up to, or at, the PCMH",33% or more,No
