business_name,inspection_score,Year,NumberofLocations,Weekend
JOY CHILD DEVELOPMENT CENTER,98,2006,38,FALSE
KINLEY'S RESTAURANT & BAR INC,98,2002,71,FALSE
SIMON & SEAFORTS,88,2006,74,FALSE
AFC SUSHI #71 @ FRED MEYER #71,100,2006,28,FALSE
ANCH HILTON - HOOPER BAY,90,2006,76,FALSE
POLAR BAR,93,2009,28,FALSE
JALAPENOS MEXICAN RESTAURANT,82,2016,104,FALSE
KALADI BROTHERS COFFEE - DOWNSTAIRS,91,2015,30,FALSE
PTARMIGAN ELEMENTARY SCHOOL,99,2000,39,FALSE
H2OASIS ALASKA TUB,100,2009,58,FALSE
GALLO'S MEXICAN RESTAURANT,79,2018,274,FALSE
CARRS #1813 - SALAD BAR,95,2002,52,FALSE
ANCHORAGE COMFORT INN SNACKBAR,93,2003,41,FALSE
PIZZA OLYMPIA,95,2004,69,FALSE
BENNY'S FOOD WAGON,97,2017,77,FALSE
BLUE LINE PUB,89,2003,45,FALSE
VFW POST 9785,93,2004,50,FALSE
SNO FLO LLC,90,2018,9,FALSE
WESTMARK - SOLSTICE CAFE,84,2005,47,FALSE
PEANUT FARM - RESTAURANT,97,2019,92,FALSE
MOMMA O'S SEAFOOD,95,2016,26,FALSE
ORIENTAL GARDEN,82,2016,23,FALSE
DIMOND CENTER CINEMAS,99,2007,40,FALSE
RAY'S PLACE LLC,79,2006,109,FALSE
WENDY'S #9,100,2008,46,FALSE
MUFFIN MAN,91,2008,43,FALSE
CABIN TAVERN,100,2000,23,FALSE
DON JOSE'S MEXICAN RESTAURANT,79,2015,140,FALSE
RAY'S PLACE LLC,79,2006,109,FALSE
BARTLETT HIGH POOL/P & R,100,2000,21,FALSE
YES INTERNATIONAL BISTRO,100,2015,40,FALSE
HILTON GARDEN INN - POOL,100,2016,16,FALSE
MCDONALD'S,96,2009,646,FALSE
GRANNY B'S CAFE,96,2005,61,FALSE
TAKU SCHOOL,100,2009,38,FALSE
HOLIDAY INN EXPRESS - SPA,100,2008,40,FALSE
MOCHA BEANS,100,2016,20,FALSE
T.G.I. FRIDAYS,100,2004,68,FALSE
DIMOND HIGH SCHOOL,100,2016,34,FALSE
SHRIMP GUYS SEAFOOD #2,95,2016,8,TRUE
CARRS #1812 - BAKERY,98,2017,8,FALSE
HOLIDAY STATION STORE #620,98,2007,23,FALSE
CARRS #1817 - DELI,93,2002,72,FALSE
HOLIDAY STATIONSTORE #632 SNACK,95,2001,34,FALSE
TACO BELL #19953,100,2000,46,FALSE
HOLIDAY INN EXPRESS,100,2002,26,FALSE
HAMBURGER HAVEN,84,2007,129,FALSE
SICILY'S PIZZA,93,2005,323,FALSE
SORRENTO'S,90,2016,52,FALSE
NAPOLI'S PIZZA,95,2007,77,FALSE
CAPTAIN COOK - FLETCHER'S BAR,96,2008,24,FALSE
VILLAGE INN #3,89,2006,79,FALSE
CHUCK E CHEESE PIZZA,95,2007,91,FALSE
HACIENDA MEXICAN REST./BAR,97,2009,22,FALSE
CAMP FIRE - GOVERNMENT HILL,100,2004,32,FALSE
CAMP FIRE - CHUGACH,100,2002,31,FALSE
BENSON SECONDARY SCHOOL,100,2004,43,FALSE
MIDNIGHT SUN BREWING COMPANY,85,2015,34,FALSE
INLET VIEW ELEMENTARY SCHOOL,98,2003,38,FALSE
CAROUSEL CHILD CARE CENTER,95,2016,58,FALSE
CAMP FIRE - ABBOTT LOOP,98,2009,32,FALSE
CHUCK E CHEESE PIZZA,73,2000,91,FALSE
COLD STONE CREAMERY,100,2003,92,FALSE
CHINA TOWN RESTAURANT,71,2017,28,FALSE
SAMURAI SUSHI,84,2008,119,FALSE
HUMPY'S GREAT ALASKAN ALEHOUSE,93,2005,78,FALSE
SIMON & SEAFORTS,81,2018,74,FALSE
HILTON GARDEN INN - POOL,100,2016,16,FALSE
BEAR TOOTH GRILL,91,2009,75,FALSE
KALADI BROTHERS COFFEE,97,2017,99,FALSE
"MOTHER LODE, LLC, THE",82,2017,17,FALSE
HOLIDAY STATIONSTORE #607 SNACK,100,2007,39,FALSE
CHUCK E CHEESE PIZZA,90,2004,91,FALSE
CAPRI PIZZA,94,2009,28,FALSE
JITTERS - WHERE COFFEE IS AN ART,99,2000,28,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
SORRENTO'S,98,2009,52,FALSE
ROSCOE'S SOUL FOOD,90,2017,24,FALSE
SUBWAY OF ALASKA #4803,97,2009,53,FALSE
MORNING STAR CHRISTIAN SCHOOL,100,2005,35,FALSE
RAVENWOOD ELEMENTARY CAFETERIA,100,2003,37,FALSE
H2OASIS ACTIVITY POOL,100,2003,56,FALSE
ANCH HILTON - BANQUET ROOM,100,2003,29,FALSE
TACO BELL #5649,88,2017,55,FALSE
MCDONALD'S,100,2003,646,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
CARRS #1805 - DELI,95,2016,86,FALSE
MCDONALD'S,98,2009,646,FALSE
WEST HIGH SCHOOL,100,2008,36,FALSE
PLAYER'S CHOICE BINGO,92,2016,36,FALSE
POLAR BAR,87,2005,28,FALSE
CAPTAIN COOK - MAIN KITCHEN,97,2007,40,FALSE
REGAL CINEMAS TOTEM 8,93,2005,47,FALSE
GALLO'S MEXICAN RESTAURANT-BAR,91,2003,35,FALSE
CAMP FIRE - SCENIC PARK,100,2005,38,FALSE
STARBUCKS COFFEE CO #19819,100,2015,12,FALSE
HILAND MOUNTAIN CORRECTIONAL CTR,91,2017,51,FALSE
HILAND MOUNTAIN CORRECTIONAL CTR,96,2004,51,FALSE
FRED MEYER - STARBUCKS,92,2009,82,FALSE
YES INTERNATIONAL BISTRO,100,2015,40,FALSE
ANCHORAGE COMMUNITY YMCA EAGLE RVR,95,2016,18,FALSE
CARRS #1807 - SERVICE MEAT,100,2009,27,FALSE
DARWINS THEORY BAR,91,2002,15,FALSE
TIPS BAR,97,2017,27,FALSE
CHINA LIGHTS ORIENTAL CUISINE LLC,85,2007,178,FALSE
SUBWAY STORE#27668,92,2006,25,FALSE
MCDONALD'S,87,2008,646,FALSE
CHUGIAK/EAGLE RIVER FOOD PANTRY,95,2002,15,FALSE
SUBWAY OF ALASKA #10986,90,2005,50,FALSE
SOUTH ANCHORAGE AREA HIGH SCHOOL,100,2017,35,FALSE
FRED MEYER - RETAIL FISH,100,2016,86,FALSE
SAMURAI SUSHI,86,2017,119,FALSE
BENIHANA RESTAURANT,95,2008,83,FALSE
FRED MEYER - DELI,94,2015,189,FALSE
CAPTAIN COOK - POOL,100,2002,26,FALSE
UAA - CUDDY COFFEE HOUSE,100,2015,13,FALSE
CARRS #520 - MEAT,98,2003,24,FALSE
TACO KING IV,100,2015,41,FALSE
CARRS #1817 - ORIENT EXPRESS,95,2005,53,FALSE
CAMP FIRE - GLADYS WOOD,100,2007,32,FALSE
SARA'S SANDWICHES,95,2009,48,FALSE
KINLEY'S RESTAURANT & BAR INC,85,2005,71,FALSE
BEGICH MIDDLE SCHOOL -MULDOON,100,2009,27,FALSE
KINCAID GRILL,94,2006,49,FALSE
LUCKY GROCERY & DELI,96,2015,13,FALSE
HILLTOP SKI AREA,99,2002,55,FALSE
GWENNIES RESTAURANT,90,2016,126,FALSE
CAMP FIRE - SPRING HILL,95,2002,28,FALSE
HOLIDAY STATION STORE #629,100,2003,23,FALSE
LITTLE ITALY,92,2008,66,FALSE
SAMURAI SUSHI,85,2008,119,FALSE
THE SMOKE HOUSE #3,88,2017,13,FALSE
"NEW CENTRAL MARKET PROCESSING, THE",81,2004,98,FALSE
FRED MEYER - RETAIL STORE,95,2015,49,FALSE
CREEKSIDE ELEMENTARY SCHOOL,100,2007,39,FALSE
SERVICE HIGH SCHOOL,100,2008,42,FALSE
5TH AVENUE DELI,90,2005,70,FALSE
TUDOR ELEMENTARY SCHOOL,100,2017,39,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
FRED MEYER - BAKERY,100,2004,88,FALSE
BENNY'S FOOD WAGON,85,2009,77,FALSE
FRED MEYER  DELI #668,95,2017,52,FALSE
FRIED RICE EXPRESS,89,2017,24,FALSE
HOLIDAY STATIONSTORE #631,99,2006,31,FALSE
L'AROMA BAKERY & DELI - RESTAURANT,92,2000,161,FALSE
UNCLE JOE'S PIZZERIA #4,92,2017,40,FALSE
DRAGON RESTAURANT,88,2009,191,FALSE
SILVERTIP GRILL,95,2017,62,FALSE
FLO'S PANCAKE HOUSE,98,2015,29,FALSE
WENDY'S #5,97,2006,44,FALSE
SHELL - EAGLE RIVER A & W,100,2006,33,FALSE
KODIAK KUP ESPRESSO,100,2008,27,FALSE
SIS'S DELI & ESPRESSO BAR,100,2000,47,FALSE
THAI SIAM RESTAURANT,87,2016,56,FALSE
FRED MEYER - STARBUCKS,100,2015,82,FALSE
WENDY'S #1,94,2003,63,FALSE
LUIGI'S PIZZA,70,2005,117,FALSE
"ALASKA CLUB HOT TUB, THE",100,2005,50,FALSE
GWENNIES RESTAURANT,85,2007,126,FALSE
CLUB PARIS,86,2009,50,FALSE
KIDS' CORP - EAST,100,2008,28,FALSE
MRS FIELDS COOKIES,100,2017,6,FALSE
LAHN PAD-THAI RESTAURANT,84,2009,102,FALSE
FRED MEYER - RETAIL FISH,100,2004,86,FALSE
COLD STONE CREAMERY,93,2009,92,FALSE
LITTLE BEARS PLAYHOUSE,100,2008,32,FALSE
MEKONG RESTAURANT,90,2009,86,FALSE
CAPTAIN COOK - THE CAFE,86,2005,54,FALSE
SUBWAY OF ALASKA #10986,100,2016,50,FALSE
FIRE LAKE ELEMENTARY CAFETERIA,100,2017,38,FALSE
GOLDEN CORRAL,90,2016,114,FALSE
ASIAN KITCHEN - NORTHWOOD,97,2015,51,FALSE
BISTRO IT LOUNGE,97,2016,8,FALSE
JUDY'S CAFE,93,2002,55,FALSE
BEAR TOOTH GRILL,96,2003,75,FALSE
O'MALLEY ON THE GREEN - RESTAURANT,83,2002,50,FALSE
CLARK MIDDLE SCHOOL,94,2002,40,FALSE
HANSHEW MIDDLE SCHOOL,100,2016,40,FALSE
SUBWAY OF GIRDWOOD INCORPORATED,98,2016,12,FALSE
CAMP FIRE - CHESTER VALLEY,100,2018,20,FALSE
YES INTERNATIONAL BISTRO,100,2015,40,FALSE
PIZZA MAN #1,89,2004,83,FALSE
UNCLE JOE'S PIZZERIA #2,99,2001,36,FALSE
CHAIR 5,98,2004,72,FALSE
SOUTHSIDE BISTRO,91,2007,59,FALSE
SAMURAI SUSHI,73,2009,119,FALSE
GWENNIES RESTAURANT,90,2007,126,FALSE
CARRS #520 -  DELI,89,2004,80,FALSE
FRIED RICE EXPRESS,89,2017,24,FALSE
FAIRVIEW ELEMENTARY SCHOOL,98,2000,38,FALSE
DING HOW RESTAURANT,89,2004,196,FALSE
FAIRFIELD INN & SUITES - HOT TUB,100,2017,28,FALSE
KINCAID ELEMENTARY,100,2007,38,FALSE
WENDLER MIDDLE SCHOOL,100,2006,43,FALSE
ROCHELLE'S ICE CREAM - S,98,2017,17,FALSE
URBAN SUSHI SPOT,93,2016,36,FALSE
LUIGI'S PIZZA,70,2005,117,FALSE
CAMP FIRE - TRAILSIDE,100,2016,30,FALSE
FAITH DAY CARE & LEARNING CENTER,100,2003,43,FALSE
CARRS #520 -  DELI,92,2008,80,FALSE
BRIGHT BEGINNINGS EARLY LEARNING,90,2006,134,FALSE
NEW PHO SAIGON RESTAURANT,79,2015,112,FALSE
JALAPENOS MEXICAN RESTAURANT,96,2004,104,FALSE
SWEET BASIL CAFE,90,2017,96,FALSE
PEKING WOK,94,2016,271,FALSE
OUTBACK STEAKHOUSE REST.,84,2016,124,FALSE
MIDNIGHT MOOSE,100,2016,5,FALSE
SLEEPY COYOTE CAFE,96,2002,22,FALSE
RAE RAE'S II,89,2015,71,FALSE
TACO GRANDE #1,90,2009,32,FALSE
ARCTIC CHOICE,100,2015,8,TRUE
BLAINES KITCHEN & SNACK BAR,89,2016,18,FALSE
MIDDLE WAY CAFE,86,2009,62,FALSE
BAYSHORE CLUBHOUSE - SPA,100,2017,35,FALSE
PROVIDENCE HOSPITAL - CAFE SOLANGE,98,2005,33,FALSE
H2OASIS SLOW RIVER,100,2015,57,FALSE
BURGER JIM #1,92,2017,101,FALSE
SARA'S SANDWICHES,100,2006,48,FALSE
WONDER PARK SCHOOL,100,2005,37,FALSE
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,FALSE
BAHAY KUBO RESTAURANT,91,2016,19,FALSE
CARRS #1812 - ORIENT EXPRESS,100,2007,34,FALSE
"OLIVE GARDEN ITALIAN RESTAURANT, THE #4412",89,2016,37,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
CARRS #2628 - STARBUCKS,100,2005,20,FALSE
"ALASKA CLUB SOUTH, THE (SNACK BAR)",91,2016,36,FALSE
KALADI BROS. COFFEE,98,2015,48,FALSE
SPRING HILL ELEM CAFETERIA,96,2006,37,FALSE
HOLIDAY INN EXPRESS - POOL,100,2006,37,FALSE
ROGERS PARK ELEMENTARY SCHOOL,100,2007,38,FALSE
BURGER JIM #1,87,2009,101,FALSE
VILLA PIZZA,82,2004,68,FALSE
JUDY'S CAFE,99,2015,55,FALSE
HOLY SPIRIT CENTER,90,2009,24,FALSE
UNCLE JOE'S PIZZERIA #4,92,2003,40,FALSE
HOLIDAY STATIONSTORE #628 SNACKBAR,94,2009,57,FALSE
VIP DBA YOUNG BIN RESTAURANT,93,2004,115,FALSE
EDDIES SPORTS BAR-,97,2017,8,FALSE
GROUND THEORY/GRANT HALL COFFEE SHOP,98,2017,15,FALSE
H2OASIS ALASKA TUB,100,2017,58,FALSE
NEW SAGAYA CITY MARKET - GROCERY,90,2005,43,FALSE
CHINA TOWN RESTAURANT,92,2016,28,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
GLACIER BREWHOUSE,82,2007,70,FALSE
KIDS' CORP - EAST,100,2004,28,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
ANCHORAGE SENIOR CENTER,90,2015,95,FALSE
"BARRY'S BARANOF LOUNGE, INC",86,2017,8,FALSE
HOLIDAY STATIONSTORE SNACKBAR #625,89,2017,36,FALSE
FRED MEYER 00656 - RETAIL FISH,100,2008,19,FALSE
ANCHORAGE CORRECTIONAL FACILITY WEST,96,2016,58,FALSE
SUBWAY,98,2017,99,FALSE
DON JOSE'S MEXICAN RESTAURANT,87,2007,140,FALSE
MT VIEW RED APPLE GROCERY,93,2007,42,FALSE
CACHE STORE 2 - SNACK,90,2016,8,FALSE
HOLIDAY STATION STORE #638,100,2016,30,FALSE
BRANDIES,94,2016,34,FALSE
FRED MEYER - BAKERY,98,2003,88,FALSE
DING HOW RESTAURANT,90,2005,196,FALSE
LOS ARCOS RESTAURANT,82,2006,79,FALSE
ESSENTIAL 1 POWER STOP,94,2009,44,FALSE
FAIRFIELD INN & SUITES -  POOL,100,2005,22,FALSE
GLACIER BREWHOUSE,91,2005,70,FALSE
FRED MEYER  DELI #668,95,2017,52,FALSE
SULLIVAN ARENA - S E PORT,100,2007,17,FALSE
JAVA THE HUT,88,2007,79,FALSE
MORNING STAR CHRISTIAN SCHOOL,100,2015,35,FALSE
IMAGINATION STATION,96,2016,19,FALSE
CARRS #1813 GASOLINE STATION,97,2017,12,FALSE
GINGER,92,2015,58,FALSE
CHUGIAK ELEMENTARY SCHOOL,100,2008,41,FALSE
KALADI BROTHERS COFFEE - DOWNSTAIRS,100,2000,30,FALSE
BOBBY'S CAFE,95,2017,55,FALSE
SPARE ROOM (HAROLD'S),89,2007,30,FALSE
CAPTAIN COOK - MAIN KITCHEN,100,2001,40,FALSE
BASKIN ROBBINS #8046,100,2001,54,FALSE
GALLO'S LOUNGE,95,2009,32,FALSE
CROW CREEK MERCANTILE #1839,100,2007,53,FALSE
BROTHER FRANCIS SHELTER,95,2017,12,FALSE
GALLO'S LOUNGE,100,2002,32,FALSE
DRAGON RESTAURANT,73,2004,191,FALSE
STARBUCKS COFFEE CO #11426,100,2016,17,FALSE
MEARS MIDDLE SCHOOL,100,2017,39,FALSE
KOREAN RICE CAKE CO,82,2008,49,FALSE
SUBWAY OF ALASKA #14372,83,2004,62,FALSE
AIRPORT HEIGHTS SCHOOL,100,2006,37,FALSE
ANCHORAGE CHRISTIAN PRESCHOOL,93,2002,48,FALSE
ORGANIC OASIS HEALTH FOODS,89,2007,96,FALSE
MCGINLEY'S IRISH PUB - FOOD,100,2006,17,FALSE
WAFFLE RUSH,96,2017,15,FALSE
CARRS #1817 - DELI,93,2002,72,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
TEXAS ROADHOUSE OLD SEWARD - REST,82,2018,18,TRUE
UAA - BEAR NECESSITIES,100,2007,13,FALSE
FRED MEYER - DELI,92,2005,189,FALSE
ALPENGLOW ELEMENTARY,100,2006,39,FALSE
SAND LAKE ELEMENTARY SCHOOL,100,2018,19,FALSE
CAMP FIRE - RAVENWOOD,100,2015,32,FALSE
CAFE LOCO 2,95,2007,66,FALSE
BIRCHWOOD SALOON,96,2017,35,FALSE
CHILDREN'S WORLD,100,2016,58,FALSE
SUBWAY OF ALASKA #7527,98,2006,53,FALSE
ANCHORAGE MARRIOTT DOWNTOWN,85,2008,43,FALSE
SICILY'S PIZZA,92,2000,323,FALSE
DRAGON RESTAURANT,82,2005,191,FALSE
BLUES CENTRAL BAR,88,2016,9,FALSE
"HOT SPOT, THE",94,2007,36,FALSE
PEANUT FARM - BAR,97,2019,32,FALSE
FLO'S PANCAKE HOUSE,88,2016,29,FALSE
CARRS #1813 - RETAIL FISH,99,2006,26,FALSE
JJ'S SPORTS LOUNGE,91,2015,24,FALSE
"BARRY'S BARANOF LOUNGE, INC",86,2017,8,FALSE
AFC SUSHI #668 @ FRED MEYER,100,2005,26,FALSE
MCDONALD'S,99,2000,646,FALSE
NORTHERN LIGHTS ESPRESSO CAFE,95,2007,27,FALSE
MUFFIN MAN,95,2006,43,FALSE
VILLA PIZZA,94,2008,68,FALSE
PHO LENA,99,2017,23,FALSE
FRED MEYER - DELI,93,2006,189,FALSE
TRAILSIDE ELEMENTARY SCHOOL,99,2002,38,FALSE
HULA HANDS RESTAURANT,100,2000,181,FALSE
LITTLE BEARS PLAYHOUSE,100,2017,32,FALSE
ANCHORAGE CORRECTIONAL COMPLEX EAST,93,2005,67,FALSE
CACHE STORE 2,100,2018,7,FALSE
WALGREENS #12680,90,2015,16,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
SOUTHSIDE BISTRO,91,2005,59,FALSE
EAGLE RIVER ELEMENTARY SCHOOL,94,2001,35,FALSE
TACO BELL #15248,96,2005,36,FALSE
MIDDLE WAY CAFE,86,2016,62,FALSE
SWEET PINK PEPPER,91,2006,154,FALSE
CROSTINI CAFE,85,2004,53,FALSE
TWIN DRAGON,76,2007,127,FALSE
CAFE LOCO 2,100,2015,66,FALSE
BEAR VALLEY ELEMENTARY,100,2003,38,FALSE
LUCKY MARKET,96,2016,31,FALSE
HOLIDAY STATION STORE #601,96,2000,42,FALSE
CARRS #1813 - DELI,100,2004,68,FALSE
KIDS' CORP - MULDOON,100,2009,51,FALSE
BEAR MOUNTAIN GRILL,92,2008,81,FALSE
SUBWAY OF ALASKA #15777,92,2016,70,FALSE
CARRS #1805 - SALAD BAR,94,2008,40,FALSE
UAA - CREEKSIDE COMMONS,100,2003,63,FALSE
