address,village,takeup_survey,age,agpop,ricearea_2010,disaster_prob,male,default,intensive,risk_averse,literacy,pre_takeup_rate
caijia1,caijia,1,73,3,7,30,1,0,0,.60000002,0,.40000001
caijia6,caijia,0,41,3,2,30,1,1,0,0,1,.33333334
caijia6,caijia,1,73,6,4,20,1,1,1,.80000001,,.33333334
caijia6,caijia,0,43,4,3,20,1,1,1,0,1,.33333334
caijia6,caijia,1,60,13,19,10,1,1,0,.19999999,1,.33333334
caijia6,caijia,1,37,4,18,40,1,1,0,.60000002,,.33333334
caijia6,caijia,0,68,2,1,20,1,1,0,0,0,.33333334
caijia6,caijia,0,48,5,8,10,1,1,0,.19999999,1,.33333334
caijia6,caijia,0,35,10,10,30,1,1,1,0,1,.33333334
caijia6,caijia,1,55,3,10,30,1,1,0,0,1,.33333334
caijia6,caijia,0,52,3,3,10,1,1,1,0,0,.33333334
caijia6,caijia,0,57,4,4,20,1,1,1,0,1,.33333334
caijia6,caijia,1,57,2,4,50,1,1,0,1,1,.33333334
caijia6,caijia,0,72,5,4.5,50,1,1,1,1,1,.33333334
caijia6,caijia,0,40,4,3,20,1,1,1,0,1,.33333334
caijia6,caijia,1,52,4,10,50,1,1,0,0,1,.33333334
daqiaoxujia,daqiao,1,46,6,18,20,1,1,0,.80000001,1,.83333331
daqiaoxujia,daqiao,0,78,1,2,20,1,1,1,0,0,.83333331
daqiaoxujia,daqiao,1,54,4,14,10,1,1,1,0,1,.83333331
daqiaoxujia,daqiao,1,64,9,13,50,0,1,0,0,0,.83333331
daqiaoxujia,daqiao,0,25,5,2.5,36,0,1,1,0,1,.83333331
daqiaozhoujia,daqiao,0,73,2,4,40,1,1,1,0,0,.85714287
daqiaozhoujia,daqiao,1,62,2,5,20,0,1,0,0,0,.85714287
daqiaozhoujia,daqiao,1,70,2,10,50,0,1,0,0,0,.85714287
daxinanan,daxi,0,57,10,5,50,0,0,1,0,0,.42857143
daxinanan,daxi,0,46,8,20,0,0,0,1,0,0,.42857143
daxituku,daxi,0,33,4,5,30,1,1,0,0,1,.35294119
daxituku,daxi,1,75,5,5,50,1,1,1,0,1,.35294119
daxituku,daxi,0,48,4,20,20,1,1,1,0,1,.35294119
daxituku,daxi,0,60,13,5.800000190734863,20,1,1,0,0,1,.35294119
daxituku,daxi,0,64,5,5,40,1,1,1,0,1,.35294119
daxituku,daxi,1,84,6,1,40,1,1,1,.60000002,1,.35294119
daxituku,daxi,0,43,4,2,30,1,1,0,0,1,.35294119
daxituku,daxi,0,58,1,.800000011920929,60,1,1,1,0,0,.35294119
daxituku,daxi,0,48,5,7.800000190734863,20,1,1,0,0,1,.35294119
daxituku,daxi,1,45,4,17,80,1,1,0,.39999998,1,.35294119
daxituku,daxi,0,41,5,14,20,1,1,1,0,1,.35294119
daxituku,daxi,1,54,4,4,20,0,1,0,.39999998,0,.35294119
daxituku,daxi,1,82,3,2,40,1,1,0,0,0,.35294119
daxiwujiajiaohengtou,daxi,0,68,7,1,40,1,0,1,0,0,.25
daxiwujiajiaohengtou,daxi,0,45,5,2.5,20,1,0,1,.60000002,1,.25
daxiwujiajiaohengtou,daxi,1,71,2,3.200000047683716,20,1,0,0,0,0,.25
daxiwujiajiaohengtou,daxi,1,44,6,20,20,0,0,0,0,1,.25
daxiwujiajiaohengtou,daxi,0,53,4,8,50,1,0,0,0,1,.25
daxiwujiajiaohengtou,daxi,1,78,2,4,40,1,0,0,.60000002,1,.25
daxiwujiajiaohengtou,daxi,0,53,3,6.599999904632568,30,1,0,1,0,1,.25
daxiwujiajiaohengtou,daxi,1,47,4,18,20,0,0,0,.80000001,1,.25
daxiwujiajiaohengtou,daxi,1,70,6,1.600000023841858,5,1,0,0,0,1,.25
daxiwujiajiaohengtou,daxi,0,38,6,17,50,1,0,1,0,1,.25
daxiwujiajiaohengtou,daxi,1,75,2,4,20,1,0,1,.80000001,0,.25
daxiwujiajiaohengtou,daxi,1,59,8,10,50,0,0,1,0,0,.25
daxixiajialong,daxi,0,35,4,2.599999904632568,20,0,1,0,0,0,.71428573
daxixiajialong,daxi,0,58,5,3,40,1,1,0,0,0,.71428573
daxixiajialong,daxi,1,47,2,18,10,1,1,1,0,0,.71428573
daxixiajialong,daxi,1,60,2,7,50,1,1,1,0,1,.71428573
daxixiajialong,daxi,1,61,8,10,50,1,1,1,0,0,.71428573
daxiyuantoulong,daxi,0,40,4,4,20,1,0,1,0,0,.18181819
daxiyuantoulong,daxi,1,56,6,10,25,1,0,1,0,1,.18181819
daxiyuantoulong,daxi,1,,,,40,1,0,1,.60000002,,.18181819
daxiyuantoulong,daxi,0,52,6,3,33,0,0,0,0,1,.18181819
daxiyuantoulong,daxi,0,21,4,2,20,1,0,0,0,1,.18181819
daxiyuantoulong,daxi,1,65,6,12,40,1,0,0,.60000002,1,.18181819
daxizhangjia,daxi,0,38,5,14,20,1,1,1,0,0,.375
daxizhangjia,daxi,0,56,4,12,40,1,1,0,0,1,.375
daxizhangjia,daxi,0,34,5,16,50,0,1,1,0,0,.375
daxizhangjia,daxi,1,61,6,.8999999761581421,30,1,1,1,0,1,.375
daxizhangjia,daxi,1,48,5,6,50,0,1,0,0,0,.375
daxizhangjia,daxi,1,54,7,9,50,1,1,0,0,1,.375
dayudengxiongmin1,dayu,0,48,5,25,20,1,0,0,.39999998,1,.43478259
dayudengxiongmin1,dayu,0,68,2,3,50,1,0,0,0,1,.43478259
dayudengxiongmin1,dayu,1,45,6,15,20,1,0,1,0,1,.43478259
dayudengxiongmin1,dayu,1,40,5,120,20,1,0,1,.19999999,1,.43478259
dayudengxiongmin1,dayu,0,37,4,14,50,1,0,1,0,1,.43478259
dayudengxiongmin1,dayu,1,37,4,120,20,1,0,0,0,1,.43478259
dayudengxiongmin1,dayu,1,43,5,15,30,1,0,0,0,1,.43478259
dayudengxiongmin1,dayu,0,48,3,27,50,1,0,1,0,1,.43478259
dayudengxiongmin1,dayu,1,38,4,103,40,1,0,0,.19999999,1,.43478259
dayudengxiongmin1,dayu,1,59,6,7,20,1,0,1,0,1,.43478259
dayudengxiongmin1,dayu,0,44,4,14,50,1,0,0,0,1,.43478259
dayudengxiongmin1,dayu,0,41,4,19,20,1,0,1,.19999999,1,.43478259
dayudengxiongmin1,dayu,0,51,8,8,20,1,0,0,1,1,.43478259
dayudengxiongmin1,dayu,0,46,2,10,50,0,0,1,0,1,.43478259
dayudengxiongmin1,dayu,1,58,2,12,50,1,0,1,.19999999,1,.43478259
dayudengxiongmin1,dayu,0,43,5,13,30,1,0,0,.60000002,1,.43478259
dayudengxiongmin1,dayu,1,52,2,20,50,1,0,0,1,1,.43478259
dayudengxiongmin2,dayu,0,39,5,20,0,1,0,0,.60000002,1,.2
dayudengxiongmin2,dayu,0,41,5,14.5,0,1,0,0,.60000002,1,.2
dayudengxiongmin2,dayu,0,42,5,20,2,1,0,0,.60000002,1,.2
dayudengxiongmin2,dayu,1,45,8,25,30,1,0,1,.39999998,1,.2
dayudengxiongmin2,dayu,1,73,6,7,50,1,0,0,0,1,.2
dayudengxiongmin2,dayu,0,74,2,12,40,1,0,1,0,0,.2
dayudengxiongmin2,dayu,0,36,7,30,20,1,0,0,0,1,.2
dayuminjia,dayu,0,39,5,20,30,1,1,0,0,1,.14285715
dayuminjia,dayu,0,26,4,30,10,1,1,0,.39999998,1,.14285715
dayuminjia,dayu,0,44,5,20,30,1,1,0,0,1,.14285715
dayuminjia,dayu,0,44,4,12,30,1,1,0,0,1,.14285715
dayuminjia,dayu,1,52,5,18,50,1,1,1,0,1,.14285715
dayuminjia,dayu,1,40,5,16,30,1,1,1,0,1,.14285715
dayuminjia,dayu,0,59,5,20,30,0,1,0,0,0,.14285715
dayuminjia,dayu,1,51,6,28,20,1,1,1,0,1,.14285715
dayuminjia,dayu,1,49,4,22,20,1,1,0,0,1,.14285715
dayuminjia,dayu,1,58,6,13,40,1,1,1,0,1,.14285715
dayuminjia,dayu,1,56,6,12,40,1,1,0,0,1,.14285715
dayuminjia,dayu,1,38,5,20,50,1,1,1,.39999998,1,.14285715
dayuminjia,dayu,0,38,4,12,20,1,1,0,0,1,.14285715
dayuwangjia,dayu,1,48,2,13,30,1,0,0,0,1,.71428573
dayuwangjia,dayu,0,54,6,22,40,1,0,0,.60000002,1,.71428573
dayuwangjia,dayu,1,48,6,20,50,1,0,1,0,1,.71428573
dayuwangjia,dayu,1,51,4,60,40,1,0,1,0,1,.71428573
dayuwangjia,dayu,1,53,2,13,30,1,0,0,0,1,.71428573
dayuwangjia,dayu,1,38,7,17,20,1,0,1,0,1,.71428573
dayuwangjia,dayu,1,42,4,5,40,1,0,1,0,0,.71428573
dayuwangjia,dayu,1,59,5,5,20,1,0,0,.60000002,0,.71428573
dayuwangjia,dayu,1,47,2,23,20,1,0,1,0,1,.71428573
dayuxiajia,dayu,0,57,5,10,20,1,1,1,0,1,.45454547
dayuxiajia,dayu,0,57,6,11,40,0,1,0,0,0,.45454547
dayuxiajia,dayu,0,36,4,9,50,0,1,0,0,1,.45454547
dayuxiajia,dayu,0,38,4,18,20,0,1,1,.60000002,0,.45454547
dayuxiajia,dayu,0,63,2,4,20,0,1,0,0,0,.45454547
dayuxiajia,dayu,0,51,5,8,0,1,1,0,0,1,.45454547
dayuxiajia,dayu,0,41,5,17,30,0,1,0,0,1,.45454547
dayuxiajia,dayu,1,46,4,12,20,1,1,1,.19999999,1,.45454547
dayuxiajia,dayu,1,,,13,50,,1,1,.80000001,,.45454547
dayuxiajia,dayu,0,36,5,30,40,0,1,1,0,1,.45454547
dayuxiajia,dayu,0,62,6,10,50,1,1,1,0,1,.45454547
dayuxiajia,dayu,1,18,5,20,20,1,1,0,.80000001,1,.45454547
dazhoulaoji1,dazhou,0,53,6,14,50,1,0,0,.19999999,1,.15789473
dazhoulaoji1,dazhou,0,29,4,3,40,0,0,1,0,1,.15789473
dazhoulaoji1,dazhou,0,57,2,3,0,1,0,0,0,1,.15789473
dazhoulaoji1,dazhou,0,70,2,16,0,1,0,0,0,0,.15789473
dazhoulaoji1,dazhou,0,53,4,4,30,0,0,1,0,0,.15789473
dazhoulaoji1,dazhou,0,26,6,1,50,1,0,0,0,1,.15789473
dazhoulaoji1,dazhou,0,53,4,4,5,1,0,0,0,1,.15789473
dazhoulaoji1,dazhou,0,,,1,50,1,0,1,0,,.15789473
dazhoulaoji1,dazhou,0,53,7,20,20,1,0,1,0,1,.15789473
dazhoulaoji1,dazhou,0,38,4,6,30,1,0,0,0,1,.15789473
dazhoulaoji1,dazhou,0,42,4,6,20,1,0,1,.19999999,1,.15789473
dazhoulaoji1,dazhou,0,45,6,17,10,1,0,1,0,1,.15789473
dazhoulaoji1,dazhou,0,64,2,4,40,1,0,0,0,1,.15789473
dazhoulaoji2,dazhou,0,33,3,10,50,1,1,0,0,1,.44444445
dazhoulaoji2,dazhou,0,50,4,20,20,1,1,0,0,1,.44444445
dazhoulaoji2,dazhou,0,40,5,12,5,0,1,0,1,0,.44444445
dazhoulaoji2,dazhou,0,61,3,13,50,1,1,1,0,1,.44444445
dazhoulaoji2,dazhou,1,30,4,20,40,1,1,0,.60000002,1,.44444445
dazhoulaoji2,dazhou,0,40,4,30,20,0,1,1,.39999998,0,.44444445
dazhoulaoji2,dazhou,0,59,5,8,10,1,1,0,0,1,.44444445
dazhoulaoji2,dazhou,0,64,6,4,10,1,1,1,0,1,.44444445
dazhoulaoji2,dazhou,0,68,7,8,30,1,1,1,0,0,.44444445
dazhoulaoji2,dazhou,0,38,4,8,20,0,1,0,.60000002,1,.44444445
dazhoulaoji2,dazhou,0,33,5,27,14,1,1,1,0,1,.44444445
dazhoulaoji2,dazhou,0,52,5,43,100,1,1,1,0,1,.44444445
dazhoulaoji2,dazhou,1,42,6,18,20,0,1,0,.19999999,1,.44444445
dazhoushangbianxue,dazhou,0,36,4,20,30,1,1,1,0,1,.47058824
dazhoushangbianxue,dazhou,1,56,6,10,50,1,1,1,0,1,.47058824
dazhoushangbianxue,dazhou,0,56,2,2,50,1,1,0,0,1,.47058824
dazhoushangbianxue,dazhou,0,56,10,8,40,1,1,0,0,0,.47058824
dazhoushangbianxue,dazhou,0,40,5,30,50,1,1,0,0,1,.47058824
dazhoushangbianxue,dazhou,1,63,6,10,20,1,1,1,.39999998,1,.47058824
dazhoushangbianxue,dazhou,0,58,5,8,20,0,1,1,.19999999,0,.47058824
dazhoushangbianxue,dazhou,1,65,2,2.5,20,0,1,0,.80000001,0,.47058824
dazhoushangbianxue,dazhou,1,58,5,10,50,1,1,1,0,0,.47058824
dazhoushangbianxue,dazhou,1,42,7,5,30,1,1,0,0,1,.47058824
dazhoushangbianxue,dazhou,0,59,6,7,30,1,1,0,0,1,.47058824
dazhoushangbianxue,dazhou,1,42,4,10,50,1,1,1,.39999998,1,.47058824
dazhoushangbianxue,dazhou,1,46,3,6,20,1,1,1,.19999999,1,.47058824
dazhouwenming,dazhou,1,28,5,60,10,0,0,0,.19999999,1,.55555558
dazhouwenming,dazhou,0,54,3,2,10,1,0,1,0,1,.55555558
dazhouwenming,dazhou,0,58,6,13,20,1,0,0,1,0,.55555558
dazhouwenming,dazhou,1,61,7,5,40,1,0,0,1,1,.55555558
dazhouwenming,dazhou,0,34,4,44,20,1,0,0,0,1,.55555558
dazhouwenming,dazhou,1,27,5,7,40,1,0,1,.80000001,1,.55555558
donganlaojiluojia,dongan,0,60,6,11,50,1,0,1,1,1,.21052632
donganlaojiluojia,dongan,0,19,5,20,30,1,0,1,0,1,.21052632
donganlaojiluojia,dongan,1,45,5,60,0,1,0,0,1,1,.21052632
donganlaojiluojia,dongan,1,41,6,105,30,1,0,0,0,1,.21052632
donganlaojiluojia,dongan,0,43,4,10,20,1,0,0,.60000002,1,.21052632
donganlaojiluojia,dongan,1,37,4,100,50,0,0,1,0,0,.21052632
donganlaojiluojia,dongan,1,51,4,100,30,1,0,1,0,1,.21052632
donganlaojiluojia,dongan,0,70,2,5,50,1,0,0,0,0,.21052632
donganlaojiluojia,dongan,1,38,3,,30,1,0,1,1,1,.21052632
donganlaojiluojia,dongan,1,41,4,65,50,1,0,0,.19999999,1,.21052632
donganlaojiluojia,dongan,0,42,4,18,20,1,0,0,1,1,.21052632
donganlaojiluojia,dongan,0,43,5,40,20,1,0,1,1,1,.21052632
donganxinji,dongan,1,35,5,65,0,1,0,0,.39999998,1,.60000002
donganxinji,dongan,1,70,2,3,80,1,0,1,0,0,.60000002
donganxinji,dongan,1,66,2,7,70,1,0,1,0,1,.60000002
donganxinji,dongan,0,47,4,50,30,1,0,0,0,1,.60000002
donganxinji,dongan,0,48,7,2.200000047683716,20,0,0,0,0,0,.60000002
donganxinji,dongan,0,64,2,1.700000047683716,0,0,0,1,1,1,.60000002
donganxinji,dongan,0,48,4,20,0,1,0,0,0,1,.60000002
donganxinji,dongan,0,41,4,4,0,1,0,0,0,1,.60000002
donganxinji,dongan,1,37,4,10,50,1,0,1,1,1,.60000002
dukou2,dukou,0,65,6,1.6,40,1,0,0,0,1,.30000001
dukou2,dukou,0,46,5,32,20,1,0,1,.19999999,1,.30000001
dukou2,dukou,0,70,3,.7,50,1,0,0,0,1,.30000001
dukou2,dukou,0,35,4,6,30,1,0,1,0,0,.30000001
dukou2,dukou,0,62,3,3,20,1,0,0,.80000001,1,.30000001
dukou2,dukou,0,69,5,6,30,1,0,0,0,1,.30000001
dukou31,dukou,1,66,8,7,20,1,1,0,0,0,.78947371
dukou31,dukou,1,39,4,4,40,1,1,0,0,1,.78947371
dukou31,dukou,1,48,6,5,85,1,1,1,0,1,.78947371
dukou31,dukou,1,37,4,15,50,1,1,1,0,1,.78947371
dukou31,dukou,1,45,4,5,50,1,1,1,0,1,.78947371
dukou31,dukou,1,65,5,7,50,1,1,0,0,0,.78947371
dukou31,dukou,1,40,4,4,20,1,1,1,0,1,.78947371
dukou31,dukou,0,52,4,3.8,40,1,1,1,0,1,.78947371
dukou31,dukou,1,40,5,16,20,1,1,1,0,1,.78947371
dukou32,dukou,0,53,2,5,30,1,1,0,0,1,.2
dukou32,dukou,0,47,6,16,20,1,1,1,0,1,.2
dukou32,dukou,1,54,8,8,50,1,1,1,1,1,.2
dukou32,dukou,1,37,4,25,20,1,1,0,0,1,.2
dukou32,dukou,0,43,4,9,20,1,1,0,.39999998,1,.2
dukou32,dukou,0,56,9,23,30,1,1,1,.80000001,0,.2
dukou32,dukou,1,50,5,9,20,1,1,0,0,1,.2
dukou32,dukou,0,64,10,5.3,0,1,1,0,0,0,.2
dukou32,dukou,0,74,6,1.5,40,1,1,0,0,0,.2
dukou32,dukou,0,40,4,28,30,1,1,0,0,1,.2
dukou32,dukou,0,52,6,21.8,40,1,1,1,0,1,.2
dukou32,dukou,0,65,10,8,20,1,1,0,0,0,.2
dukou41,dukou,0,25,4,3,50,1,1,0,.39999998,1,.81818181
dukou41,dukou,1,54,2,1.5,20,1,1,1,.39999998,1,.81818181
dukou41,dukou,0,50,6,30,0,1,1,1,.19999999,1,.81818181
dukou41,dukou,0,45,4,6,50,1,1,1,.60000002,1,.81818181
dukou41,dukou,1,59,6,10,50,1,1,0,0,1,.81818181
dukou41,dukou,0,63,7,8,0,1,1,1,.19999999,0,.81818181
dukou41,dukou,1,70,6,12,40,1,1,0,.60000002,1,.81818181
dukou41,dukou,0,70,6,10,0,1,1,1,.19999999,0,.81818181
dukou42,dukou,1,71,4,5,50,1,1,0,0,0,.35714287
dukou42,dukou,1,42,5,18,40,1,1,1,.60000002,1,.35714287
dukou42,dukou,0,52,4,10,30,1,1,0,0,1,.35714287
dukou42,dukou,0,52,6,7,10,1,1,1,.19999999,0,.35714287
dukou42,dukou,0,46,5,16,10,1,1,0,.39999998,1,.35714287
dukou42,dukou,0,71,6,3,50,1,1,1,0,0,.35714287
dukou42,dukou,0,59,3,3,50,1,1,1,0,1,.35714287
dukou42,dukou,0,56,8,11,40,1,1,1,0,1,.35714287
dukou42,dukou,1,74,6,2.5,40,1,1,0,0,1,.35714287
dukou42,dukou,0,45,1,1,20,1,1,0,0,1,.35714287
dukou51,dukou,0,67,10,10,20,1,0,0,0,1,.71428573
dukou51,dukou,0,40,4,5,0,1,0,0,0,1,.71428573
dukou51,dukou,1,43,4,5,30,1,0,1,0,1,.71428573
dukou51,dukou,1,66,10,7,0,1,0,1,0,1,.71428573
dukou51,dukou,0,60,11,12,30,1,0,0,0,1,.71428573
dukou51,dukou,0,63,8,4,50,1,0,1,0,1,.71428573
dukou51,dukou,0,31,9,30,30,1,0,1,0,1,.71428573
dukou51,dukou,1,56,9,7,70,1,0,1,.19999999,1,.71428573
dukou51,dukou,1,45,2,1.3,50,1,0,1,0,1,.71428573
dukou51,dukou,0,60,10,5,0,1,0,0,.19999999,0,.71428573
dukou51,dukou,0,55,9,12,30,1,0,0,0,1,.71428573
dukou52,dukou,1,48,3,18,20,1,1,0,.80000001,1,.27777779
dukou52,dukou,0,68,14,2,40,1,1,1,.60000002,0,.27777779
dukou52,dukou,0,40,2,3,20,1,1,0,0,1,.27777779
dukou52,dukou,1,68,3,3.4,50,1,1,1,0,1,.27777779
dukou52,dukou,0,37,7,6,50,1,1,0,.39999998,1,.27777779
dukou52,dukou,0,64,9,7,50,1,1,1,0,0,.27777779
dukou52,dukou,1,48,3,18,20,1,1,1,.80000001,1,.27777779
dukou52,dukou,1,62,7,24,30,1,1,1,0,1,.27777779
dukou52,dukou,1,60,6,,20,1,1,1,0,0,.27777779
dukou52,dukou,0,46,5,5.6,50,1,1,0,.19999999,1,.27777779
dukou52,dukou,0,49,4,4,50,1,1,1,0,1,.27777779
dukou52,dukou,1,68,4,4,20,1,1,0,.19999999,1,.27777779
dukou52,dukou,0,55,3,7,30,1,1,0,0,1,.27777779
dukou8,dukou,0,58,3,11,40,1,1,0,0,1,.5
dukou8,dukou,1,63,6,9.1,50,1,1,0,0,1,.5
dukou8,dukou,0,62,6,7,40,1,1,0,0,0,.5
dukou8,dukou,1,73,6,4,20,1,1,1,.80000001,1,.5
dukou8,dukou,0,82,6,7,50,1,1,1,0,0,.5
dukou8,dukou,1,31,4,18,40,1,1,0,.60000002,1,.5
dukou8,dukou,0,45,3,30,20,1,1,1,0,0,.5
dukou8,dukou,0,64,4,6,10,1,1,1,.39999998,1,.5
dukou8,dukou,0,34,2,6,30,1,1,0,.60000002,1,.5
fusheng21,fusheng,1,41,4,25,20,1,1,1,.39999998,1,.5714286
fusheng21,fusheng,1,40,4,30,20,1,1,1,.19999999,1,.5714286
fusheng21,fusheng,1,76,5,5,50,1,1,0,0,1,.5714286
fusheng21,fusheng,0,63,3,2,30,1,1,1,0,1,.5714286
fusheng23,fusheng,1,45,4,7.5,50,1,1,1,0,1,1
fusheng23,fusheng,0,43,5,3,40,1,1,0,0,1,1
fusheng23,fusheng,0,52,4,8,20,1,1,0,0,1,1
fusheng23,fusheng,1,65,6,4.5,20,1,1,1,0,1,1
fusheng23,fusheng,1,62,2,2.73,20,1,1,0,0,1,1
fusheng31,fusheng,0,53,4,8,50,1,1,1,.39999998,1,.66666669
fusheng31,fusheng,0,46,4,6.3,50,1,1,0,0,1,.66666669
fusheng31,fusheng,1,44,4,4.1,50,1,1,0,0,1,.66666669
fusheng31,fusheng,0,34,10,5,30,1,1,0,0,1,.66666669
fusheng31,fusheng,0,55,5,7,50,1,1,0,0,1,.66666669
fusheng31,fusheng,1,59,6,5,40,1,1,1,0,1,.66666669
fusheng32,fusheng,1,57,5,4.7,30,1,1,1,0,1,.94444442
fusheng32,fusheng,1,46,5,15,50,1,1,1,0,1,.94444442
fusheng32,fusheng,0,37,4,1,30,1,1,0,0,1,.94444442
fusheng32,fusheng,0,24,6,1,20,1,1,1,.80000001,1,.94444442
fusheng32,fusheng,1,58,5,3,30,0,1,0,0,1,.94444442
fusheng32,fusheng,1,47,4,15,50,1,1,0,0,1,.94444442
fusheng32,fusheng,0,39,5,1.98,40,1,1,0,.39999998,1,.94444442
fusheng32,fusheng,1,43,4,15,50,1,1,0,0,1,.94444442
fusheng32,fusheng,1,61,6,4,50,1,1,0,0,1,.94444442
fusheng32,fusheng,1,38,4,1.3,20,1,1,0,0,1,.94444442
fusheng32,fusheng,0,52,5,3.7,20,1,1,1,0,1,.94444442
fusheng32,fusheng,1,43,4,2,20,1,1,1,0,1,.94444442
fusheng32,fusheng,1,63,3,10,50,1,1,1,0,1,.94444442
fusheng5,fusheng,1,53,5,30,50,1,0,0,0,1,.07692308
fusheng5,fusheng,0,40,4,3,20,1,0,1,1,1,.07692308
fusheng5,fusheng,0,65,5,2.6,30,1,0,1,0,0,.07692308
fusheng5,fusheng,0,29,5,17,20,1,0,0,.39999998,1,.07692308
fusheng5,fusheng,1,40,4,7,30,1,0,0,0,1,.07692308
fusheng5,fusheng,0,60,7,2,20,1,0,0,0,0,.07692308
fusheng5,fusheng,0,53,6,4,50,1,0,0,0,1,.07692308
fusheng5,fusheng,1,42,6,15,50,1,0,1,0,1,.07692308
fusheng5,fusheng,0,54,6,4,30,1,0,0,0,1,.07692308
fusheng5,fusheng,0,54,10,5,70,1,0,0,0,0,.07692308
fusheng5,fusheng,0,50,5,27,50,0,0,1,.39999998,1,.07692308
fusheng5,fusheng,1,70,6,12,40,1,0,0,.60000002,1,.07692308
fusheng67,fusheng,1,36,4,2.5,20,1,1,1,0,1,.64999998
fusheng67,fusheng,0,61,6,3,20,1,1,0,0,0,.64999998
fusheng67,fusheng,0,36,4,8,30,1,1,1,0,1,.64999998
fusheng67,fusheng,1,59,4,3.5,10,1,1,1,.39999998,1,.64999998
fusheng67,fusheng,1,41,5,3,20,1,1,0,0,1,.64999998
fusheng67,fusheng,0,48,4,6,20,1,1,0,0,1,.64999998
fusheng67,fusheng,0,35,4,10,15,1,1,0,0,1,.64999998
fusheng67,fusheng,1,43,5,3,30,1,1,0,0,1,.64999998
fusheng67,fusheng,1,57,7,6,20,1,1,0,1,1,.64999998
fusheng67,fusheng,0,61,5,5,30,1,1,0,0,1,.64999998
fusheng67,fusheng,1,44,5,5,20,1,1,1,0,1,.64999998
fusheng67,fusheng,0,42,4,3.3,50,1,1,1,.60000002,0,.64999998
fuzhoujiankou,fuzhou,0,64,3,15,30,0,1,0,0,0,.42857143
fuzhoujiankou,fuzhou,1,49,7,20,50,1,1,1,0,1,.42857143
fuzhoujiankou,fuzhou,1,41,4,35,20,1,1,1,0,1,.42857143
fuzhoujiankou,fuzhou,0,58,5,15,60,1,1,0,0,1,.42857143
fuzhoujiankou,fuzhou,1,30,5,65,20,1,1,0,0,1,.42857143
fuzhoujiankou,fuzhou,0,73,2,1.5,20,1,1,0,0,0,.42857143
fuzhoujiankou,fuzhou,0,48,3,4,40,0,1,0,0,0,.42857143
fuzhoujiankou,fuzhou,0,47,4,19,50,1,1,1,0,1,.42857143
fuzhoujiankou,fuzhou,0,38,5,20,20,0,1,1,0,0,.42857143
